GEO_ID,NAME,S2501_C01_001E,S2501_C01_002EA,S2501_C01_003M,S2501_C01_004MA,S2501_C01_005EA
Geography,Zip code,Total estimate of occupied housing unit,One person,Two people,Three people,Four People
8600000US00601,ZCTA5 00601,5818,1416,1909,1318,1175
8600000US00602,ZCTA5 00602,12719,2938,4219,2436,3126
8600000US00603,ZCTA5 00603,19009,5037,6152,3999,3821
8600000US00606,ZCTA5 00606,1959,425,701,337,496
8600000US00610,ZCTA5 00610,9120,2208,2855,1793,2264
8600000US00612,ZCTA5 00612,23037,6400,7787,4092,4758
8600000US00616,ZCTA5 00616,3606,799,1157,967,683
8600000US00617,ZCTA5 00617,8079,1923,2725,1653,1778
8600000US00622,ZCTA5 00622,2330,739,734,350,507
8600000US00623,ZCTA5 00623,14165,4064,4668,2640,2793
8600000US00624,ZCTA5 00624,7690,1648,2324,1467,2251
8600000US00627,ZCTA5 00627,11571,2668,3473,2720,2710
8600000US00631,ZCTA5 00631,615,218,168,132,97
8600000US00637,ZCTA5 00637,7568,2135,2764,1197,1472
8600000US00638,ZCTA5 00638,6033,1505,1891,1300,1337
8600000US00641,ZCTA5 00641,9104,1910,3339,1862,1993
8600000US00646,ZCTA5 00646,12075,2365,4049,2278,3383
8600000US00647,ZCTA5 00647,1866,534,650,348,334
8600000US00650,ZCTA5 00650,5051,1183,1490,839,1539
8600000US00652,ZCTA5 00652,1335,428,418,206,283
8600000US00653,ZCTA5 00653,3662,1129,1129,659,745
8600000US00656,ZCTA5 00656,6566,1675,2179,1216,1496
8600000US00659,ZCTA5 00659,14443,3711,4621,2920,3191
8600000US00660,ZCTA5 00660,6271,1900,2014,1199,1158
8600000US00662,ZCTA5 00662,14482,3594,4902,2841,3145
8600000US00664,ZCTA5 00664,4850,1051,1523,1131,1145
8600000US00667,ZCTA5 00667,8153,2228,2293,2050,1582
8600000US00669,ZCTA5 00669,9727,2220,3496,1710,2301
8600000US00670,ZCTA5 00670,3006,637,1106,540,723
8600000US00674,ZCTA5 00674,15726,3936,5031,3140,3619
8600000US00676,ZCTA5 00676,13035,3146,3699,3268,2922
8600000US00677,ZCTA5 00677,5092,1749,1613,742,988
8600000US00678,ZCTA5 00678,9179,2140,3066,2148,1825
8600000US00680,ZCTA5 00680,18602,6260,6038,3322,2982
8600000US00682,ZCTA5 00682,11718,3617,3668,2087,2346
8600000US00683,ZCTA5 00683,11368,3539,3735,2248,1846
8600000US00685,ZCTA5 00685,14338,3268,5156,2708,3206
8600000US00687,ZCTA5 00687,10129,2085,2957,2506,2581
8600000US00688,ZCTA5 00688,4244,1090,1486,769,899
8600000US00690,ZCTA5 00690,2313,614,839,462,398
8600000US00692,ZCTA5 00692,11756,2824,3609,2512,2811
8600000US00693,ZCTA5 00693,18246,4349,6543,3777,3577
8600000US00694,ZCTA5 00694,46,16,30,0,0
8600000US00698,ZCTA5 00698,10713,3380,3411,1807,2115
8600000US00703,ZCTA5 00703,8642,2140,2667,1754,2081
8600000US00704,ZCTA5 00704,2803,611,912,620,660
8600000US00705,ZCTA5 00705,8529,2002,2853,1933,1741
8600000US00707,ZCTA5 00707,3958,1097,1210,636,1015
8600000US00714,ZCTA5 00714,6091,1520,1963,1133,1475
8600000US00715,ZCTA5 00715,1300,457,276,244,323
8600000US00716,ZCTA5 00716,11256,3232,3675,2508,1841
8600000US00717,ZCTA5 00717,6686,2425,1859,1212,1190
8600000US00718,ZCTA5 00718,8284,2328,2709,1336,1911
8600000US00719,ZCTA5 00719,8887,1924,2392,2250,2321
8600000US00720,ZCTA5 00720,6676,1342,2368,1495,1471
8600000US00723,ZCTA5 00723,6519,1937,2229,1062,1291
8600000US00725,ZCTA5 00725,30699,8252,9831,6274,6342
8600000US00727,ZCTA5 00727,20122,4491,6728,4144,4759
8600000US00728,ZCTA5 00728,13450,3232,4308,2539,3371
8600000US00729,ZCTA5 00729,16482,3552,5295,3182,4453
8600000US00730,ZCTA5 00730,12051,3405,3753,2350,2543
8600000US00731,ZCTA5 00731,4482,894,1374,1124,1090
8600000US00735,ZCTA5 00735,4594,1264,1422,1046,862
8600000US00736,ZCTA5 00736,17409,4285,5937,3753,3434
8600000US00738,ZCTA5 00738,11823,3310,3464,2284,2765
8600000US00739,ZCTA5 00739,11876,2430,3864,2769,2813
8600000US00740,ZCTA5 00740,613,156,234,92,131
8600000US00741,ZCTA5 00741,1573,275,516,380,402
8600000US00745,ZCTA5 00745,16178,3610,5293,3434,3841
8600000US00751,ZCTA5 00751,8296,2291,2726,1389,1890
8600000US00754,ZCTA5 00754,13633,3349,4545,2833,2906
8600000US00757,ZCTA5 00757,7759,2175,2004,1922,1658
8600000US00765,ZCTA5 00765,2473,983,791,414,285
8600000US00766,ZCTA5 00766,7907,1648,2375,1655,2229
8600000US00767,ZCTA5 00767,11997,3259,4082,2430,2226
8600000US00769,ZCTA5 00769,13706,3554,4220,2625,3307
8600000US00771,ZCTA5 00771,12385,2442,4135,2931,2877
8600000US00772,ZCTA5 00772,6768,1642,1881,1558,1687
8600000US00773,ZCTA5 00773,6636,1544,2237,1224,1631
8600000US00775,ZCTA5 00775,512,179,157,93,83
8600000US00777,ZCTA5 00777,12850,3047,4062,2809,2932
8600000US00778,ZCTA5 00778,15181,3331,4922,2949,3979
8600000US00780,ZCTA5 00780,4081,1161,994,916,1010
8600000US00782,ZCTA5 00782,5635,1508,1922,1068,1137
8600000US00783,ZCTA5 00783,10847,1968,3885,1973,3021
8600000US00784,ZCTA5 00784,14568,4407,4006,3009,3146
8600000US00786,ZCTA5 00786,96,0,64,32,0
8600000US00791,ZCTA5 00791,16797,4349,5673,3210,3565
8600000US00794,ZCTA5 00794,9122,1899,3083,1922,2218
8600000US00795,ZCTA5 00795,15299,3196,4767,3153,4183
8600000US00901,ZCTA5 00901,2696,1267,848,361,220
8600000US00906,ZCTA5 00906,68,46,22,0,0
8600000US00907,ZCTA5 00907,8780,4489,2519,1056,716
8600000US00909,ZCTA5 00909,2452,1067,703,426,256
8600000US00911,ZCTA5 00911,3805,1877,1092,501,335
8600000US00912,ZCTA5 00912,2528,1093,762,339,334
8600000US00913,ZCTA5 00913,3470,1324,835,741,570
8600000US00915,ZCTA5 00915,11214,4428,3028,1707,2051
8600000US00917,ZCTA5 00917,8273,3809,2238,1153,1073
8600000US00918,ZCTA5 00918,8208,4126,2180,1160,742
8600000US00920,ZCTA5 00920,6874,2666,1861,1250,1097
8600000US00921,ZCTA5 00921,13599,4477,3985,2724,2413
8600000US00923,ZCTA5 00923,10045,3843,2760,1560,1882
8600000US00924,ZCTA5 00924,19373,5967,5804,3821,3781
8600000US00925,ZCTA5 00925,3178,1887,860,187,244
8600000US00926,ZCTA5 00926,37216,9832,12482,7209,7693
8600000US00927,ZCTA5 00927,5831,1968,2215,848,800
8600000US00934,ZCTA5 00934,25,25,0,0,0
8600000US00936,ZCTA5 00936,0,0,0,0,0
8600000US00949,ZCTA5 00949,25855,6951,8091,4920,5893
8600000US00950,ZCTA5 00950,0,0,0,0,0
8600000US00951,ZCTA5 00951,0,0,0,0,0
8600000US00952,ZCTA5 00952,2988,853,1118,424,593
8600000US00953,ZCTA5 00953,21798,3742,6381,5037,6638
8600000US00956,ZCTA5 00956,25459,6475,7656,5529,5799
8600000US00957,ZCTA5 00957,14764,3034,5116,3341,3273
8600000US00959,ZCTA5 00959,18297,5134,5262,3781,4120
8600000US00960,ZCTA5 00960,0,0,0,0,0
8600000US00961,ZCTA5 00961,11349,3068,3563,2376,2342
8600000US00962,ZCTA5 00962,7005,1673,2024,1555,1753
8600000US00965,ZCTA5 00965,2748,898,806,535,509
